@relation balance

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute Class {1,2,3}

@data
1891.210884354 ,-0.000904977 ,0.011111111 , 2
3751.210884354 ,-0.000452496 ,0.022222222 , 3
5611.210884354 ,-0.000301666 ,0.033333333 , 3
7471.210884354 ,-0.000226250 ,0.044444444 , 3
9331.210884354 ,-0.000181000 ,0.055555556 , 3
3751.105442177 ,-0.000452489 ,0.022222222 , 3
7471.105442177 ,-0.000226247 ,0.044444444 , 3
11191.105442177 ,-0.000150832 ,0.066666667 , 3
14911.105442177 ,-0.000113124 ,0.088888889 , 3
18631.105442177 ,-0.000090500 ,0.111111111 , 3
5611.070294785 ,-0.000301659 ,0.033333333 , 3
11191.070294785 ,-0.000150831 ,0.066666667 , 3
16771.070294785 ,-0.000100554 ,0.100000000 , 3
22351.070294785 ,-0.000075416 ,0.133333333 , 3
27931.070294785 ,-0.000060333 ,0.166666667 , 3
7471.052721088 ,-0.000226244 ,0.044444444 , 3
14911.052721088 ,-0.000113123 ,0.088888889 , 3
22351.052721088 ,-0.000075416 ,0.133333333 , 3
29791.052721088 ,-0.000056562 ,0.177777778 , 3
37231.052721088 ,-0.000045250 ,0.222222222 , 3
9331.042176871 ,-0.000180995 ,0.055555556 , 3
18631.042176871 ,-0.000090498 ,0.111111111 , 3
27931.042176871 ,-0.000060332 ,0.166666667 , 3
37231.042176871 ,-0.000045249 ,0.222222222 , 3
46531.042176871 ,-0.000036200 ,0.277777778 , 3
961.105442177 ,-0.001879983 ,0.005617978 , 1
1891.105442177 ,-0.000904977 ,0.011235955 , 2
2821.105442177 ,-0.000603323 ,0.016853933 , 3
3751.105442177 ,-0.000452494 ,0.022471910 , 3
4681.105442177 ,-0.000361996 ,0.028089888 , 3
1891.052721088 ,-0.000904962 ,0.011235955 , 2
3751.052721088 ,-0.000452489 ,0.022471910 , 3
5611.052721088 ,-0.000301661 ,0.033707865 , 3
7471.052721088 ,-0.000226246 ,0.044943820 , 3
9331.052721088 ,-0.000180997 ,0.056179775 , 3
2821.035147392 ,-0.000603313 ,0.016853933 , 3
5611.035147392 ,-0.000301659 ,0.033707865 , 3
8401.035147392 ,-0.000201107 ,0.050561798 , 3
11191.035147392 ,-0.000150831 ,0.067415730 , 3
13981.035147392 ,-0.000120665 ,0.084269663 , 3
3751.026360544 ,-0.000452486 ,0.022471910 , 3
7471.026360544 ,-0.000226244 ,0.044943820 , 3
11191.026360544 ,-0.000150830 ,0.067415730 , 3
14911.026360544 ,-0.000113123 ,0.089887640 , 3
18631.026360544 ,-0.000090498 ,0.112359551 , 3
4681.021088435 ,-0.000361989 ,0.028089888 , 3
9331.021088435 ,-0.000180995 ,0.056179775 , 3
13981.021088435 ,-0.000120664 ,0.084269663 , 3
18631.021088435 ,-0.000090498 ,0.112359551 , 3
23281.021088435 ,-0.000072399 ,0.140449438 , 3
651.070294785 ,-0.002714993 ,0.003787879 , 1
1271.070294785 ,-0.001378474 ,0.007575758 , 1
1891.070294785 ,-0.000904977 ,0.011363636 , 2
2511.070294785 ,-0.000678737 ,0.015151515 , 3
3131.070294785 ,-0.000542990 ,0.018939394 , 3
1271.035147392 ,-0.001399483 ,0.007575758 , 1
2511.035147392 ,-0.000678725 ,0.015151515 , 3
3751.035147392 ,-0.000452489 ,0.022727273 , 3
4991.035147392 ,-0.000339368 ,0.030303030 , 3
6231.035147392 ,-0.000271495 ,0.037878788 , 3
1891.023431595 ,-0.000904957 ,0.011363636 , 2
3751.023431595 ,-0.000452486 ,0.022727273 , 3
5611.023431595 ,-0.000301659 ,0.034090909 , 3
7471.023431595 ,-0.000226245 ,0.045454545 , 3
9331.023431595 ,-0.000180996 ,0.056818182 , 3
2511.017573696 ,-0.000678725 ,0.015151515 , 3
4991.017573696 ,-0.000339365 ,0.030303030 , 3
7471.017573696 ,-0.000226244 ,0.045454545 , 3
9951.017573696 ,-0.000169684 ,0.060606061 , 3
12431.017573696 ,-0.000135747 ,0.075757576 , 3
3131.014058957 ,-0.000542982 ,0.018939394 , 3
6231.014058957 ,-0.000271492 ,0.037878788 , 3
9331.014058957 ,-0.000180995 ,0.056818182 , 3
12431.014058957 ,-0.000135747 ,0.075757576 , 3
15531.014058957 ,-0.000108598 ,0.094696970 , 3
496.052721088 ,-0.003619955 ,0.002873563 , 1
961.052721088 ,-0.001809985 ,0.005747126 , 1
1426.052721088 ,-0.001216641 ,0.008620690 , 1
1891.052721088 ,-0.000904977 ,0.011494253 , 2
2356.052721088 ,-0.000723985 ,0.014367816 , 3
961.026360544 ,-0.001810000 ,0.005747126 , 1
1891.026360544 ,-0.000918108 ,0.011494253 , 2
2821.026360544 ,-0.000603313 ,0.017241379 , 3
3751.026360544 ,-0.000452489 ,0.022988506 , 3
4681.026360544 ,-0.000361992 ,0.028735632 , 3
1426.017573696 ,-0.001236649 ,0.008620690 , 1
2821.017573696 ,-0.000603308 ,0.017241379 , 3
4216.017573696 ,-0.000402210 ,0.025862069 , 3
5611.017573696 ,-0.000301659 ,0.034482759 , 3
7006.017573696 ,-0.000241328 ,0.043103448 , 3
1891.013180272 ,-0.000904955 ,0.011494253 , 2
3751.013180272 ,-0.000452485 ,0.022988506 , 3
5611.013180272 ,-0.000301658 ,0.034482759 , 3
7471.013180272 ,-0.000226244 ,0.045977011 , 3
9331.013180272 ,-0.000180996 ,0.057471264 , 3
2356.010544218 ,-0.000723973 ,0.014367816 , 3
4681.010544218 ,-0.000361989 ,0.028735632 , 3
7006.010544218 ,-0.000241327 ,0.043103448 , 3
9331.010544218 ,-0.000180995 ,0.057471264 , 3
11656.010544218 ,-0.000144797 ,0.071839080 , 3
