@relation wine

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute Class {1,2,3}

@data
-10332.013148852 ,-2171.192207092 ,-26881.769553734 , 1
-11061.097480366 ,-1691.506402491 ,-15808.645713742 , 1
-14971.323660439 ,-2201.283817080 ,-15555.858527422 , 1
-27214.581451934 ,-3769.765734380 ,-38118.642008207 , 1
-4350.349774311 ,-1422.079815279 ,-7794.903149612 , 1
-22524.857221341 ,-2917.766968606 ,-22189.181690603 , 1
-15258.760598707 ,-2528.514982711 ,-25663.457235174 , 1
-14593.210391977 ,-2426.507141911 ,-27043.086095671 , 1
-9540.796404081 ,-2028.984892161 ,-11355.169282739 , 1
-9224.988363590 ,-2618.191553290 ,-21399.633149691 , 1
-23833.986291299 ,-2464.613167408 ,-16815.146725855 , 1
-9729.117998103 ,-2213.930630735 ,-11107.389500319 , 1
-14417.315254925 ,-2378.518605505 ,-13517.778738666 , 1
-15400.412677632 ,-1876.009910904 ,-11280.765177101 , 1
-37351.707053978 ,-2805.245166728 ,-27843.366504537 , 1
-16492.688142420 ,-2728.642031690 ,-14538.801505798 , 1
-13590.341865729 ,-2652.169465464 ,-13809.496816089 , 1
-9342.076229014 ,-2387.301208632 ,-10681.148194009 , 1
-32099.070414888 ,-3335.258105643 ,-22106.703458432 , 1
-10954.372138061 ,-1754.429410704 ,-15028.458834182 , 1
-5287.467538554 ,-1724.713020104 ,-15979.278675397 , 1
-7968.990355327 ,-1520.347827261 ,-11352.264275240 , 1
-7251.375867396 ,-1596.800278231 ,-10874.763120674 , 1
-5478.581185026 ,-1544.824497166 ,-11958.759466004 , 1
-3660.130352623 ,-1316.284390229 ,-7291.035153856 , 1
-3243.557844032 ,-1327.496324972 ,-6905.026376179 , 1
-11026.813663844 ,-2111.154309205 ,-15529.931277007 , 1
-9301.308540637 ,-1966.869708427 ,-10098.910357121 , 1
-5697.913954604 ,-1612.590866846 ,-9831.048461037 , 1
-7478.372938308 ,-1943.630034551 ,-16406.576076326 , 1
-9380.780116361 ,-2196.992121326 ,-9736.186934494 , 1
-19092.591327486 ,-2863.488132742 ,-16295.045417297 , 1
-6145.354429288 ,-1634.761319992 ,-7505.560154329 , 1
-9070.036345684 ,-2289.104477188 ,-18205.720066317 , 1
-7029.862204913 ,-1776.860858410 ,-10394.265498981 , 1
-5893.496675655 ,-1708.288706314 ,-11008.998195485 , 1
-5266.600402992 ,-1609.723960170 ,-10959.880963304 , 1
-6697.299166796 ,-1751.282250748 ,-7282.550624511 , 1
-5732.659740365 ,-1498.051295041 ,-6591.185560776 , 1
-12898.274814488 ,-1857.237350374 ,-18297.905699363 , 1
-5991.422489985 ,-1977.522904815 ,-15508.296983303 , 1
-14371.273472906 ,-1905.480960840 ,-8604.673238023 , 1
-12340.998880425 ,-2081.186436699 ,-17185.952409202 , 1
-6848.778615124 ,-1479.595992782 ,-7913.763992395 , 1
-6257.671769055 ,-1702.378498043 ,-12525.216043183 , 1
-18681.027420479 ,-2445.784720642 ,-18393.799998439 , 1
-19125.786246138 ,-2102.495637335 ,-13357.746820804 , 1
-9273.679602039 ,-2215.977802729 ,-14834.201427109 , 1
-10218.772386896 ,-2410.643397659 ,-10035.872366309 , 1
-18597.179233026 ,-3322.145564495 ,-18344.142866578 , 1
-17706.908270245 ,-2254.132959552 ,-13808.586337739 , 1
-12535.208572539 ,-2145.779238579 ,-16615.034181040 , 1
-17644.227377013 ,-2530.152253429 ,-24582.747106604 , 1
-17183.862074003 ,-2799.947814825 ,-20834.260108138 , 1
-9466.470060865 ,-2262.054577011 ,-18996.912977762 , 1
-9032.387799027 ,-2235.783378412 ,-14671.555636571 , 1
-8733.882510409 ,-2474.643959927 ,-20103.982018022 , 1
-15997.436271430 ,-2360.733376452 ,-15924.702649954 , 1
-13734.994672581 ,-2691.264351003 ,-18288.615860158 , 1
1061.896371146 ,-389.009285655 ,6095.882054905 , 2
250.089023537 ,-1070.073089930 ,6735.723523780 , 2
847.472803969 ,-307.435059933 ,38642.092295273 , 2
-1296.456951658 ,-1129.443089278 ,-2389.583262280 , 2
-763.121095157 ,-794.792269655 ,-2413.131451640 , 2
-392.991833077 ,-622.276911648 ,-1265.627841009 , 2
-2000.425279506 ,-1198.891226482 ,-3666.915152867 , 2
-1403.415199337 ,-1146.509371166 ,-4191.443360923 , 2
-995.952319952 ,-869.915863312 ,-4859.147537277 , 2
-626.104305295 ,-955.857872115 ,816.873114114 , 2
-1212.722026631 ,-855.890431551 ,-6430.036685467 , 2
398.027003882 ,1063.488073131 ,9262.348937779 , 2
